"Scenario","Replicate","Final_Abundance"
"Northern_brown_bandicoot_mod_disp_recorded_fires",100,5824.03260311787
"Northern_brown_bandicoot_high_disp_recorded_fires",1,5205.25714832104
"Northern_brown_bandicoot_high_disp_recorded_fires",2,22171.996173228
"Northern_brown_bandicoot_high_disp_recorded_fires",3,15095.0267586768
"Northern_brown_bandicoot_high_disp_recorded_fires",4,10222.976519964
"Northern_brown_bandicoot_high_disp_recorded_fires",5,6636.2214348639
"Northern_brown_bandicoot_high_disp_recorded_fires",6,8036.90395598724
"Northern_brown_bandicoot_high_disp_recorded_fires",7,7352.97312213743
"Northern_brown_bandicoot_high_disp_recorded_fires",8,4839.13237520924
"Northern_brown_bandicoot_high_disp_recorded_fires",9,10981.7022645356
"Northern_brown_bandicoot_high_disp_recorded_fires",10,11800.6699856878
"Northern_brown_bandicoot_high_disp_recorded_fires",11,5165.84329029279
"Northern_brown_bandicoot_high_disp_recorded_fires",12,3971.03831816187
"Northern_brown_bandicoot_high_disp_recorded_fires",13,11376.8596198291
"Northern_brown_bandicoot_high_disp_recorded_fires",14,13255.7075657664
"Northern_brown_bandicoot_high_disp_recorded_fires",15,4313.45852939778
"Northern_brown_bandicoot_high_disp_recorded_fires",16,5203.5657296743
"Northern_brown_bandicoot_high_disp_recorded_fires",17,13749.3441441145
"Northern_brown_bandicoot_high_disp_recorded_fires",18,8538.49520414697
"Northern_brown_bandicoot_high_disp_recorded_fires",19,28908.5637572259
"Northern_brown_bandicoot_high_disp_recorded_fires",20,12929.5674191921
"Northern_brown_bandicoot_high_disp_recorded_fires",21,5178.00890957597
"Northern_brown_bandicoot_high_disp_recorded_fires",22,13886.1035814067
"Northern_brown_bandicoot_high_disp_recorded_fires",23,23356.4895448632
"Northern_brown_bandicoot_high_disp_recorded_fires",24,11674.6099030634
"Northern_brown_bandicoot_high_disp_recorded_fires",25,22072.7097053047
"Northern_brown_bandicoot_high_disp_recorded_fires",26,21881.6825696036
"Northern_brown_bandicoot_high_disp_recorded_fires",27,5752.4017054787
"Northern_brown_bandicoot_high_disp_recorded_fires",28,10691.2466633346
"Northern_brown_bandicoot_high_disp_recorded_fires",29,5452.93075511529
"Northern_brown_bandicoot_high_disp_recorded_fires",30,2855.00904391309
"Northern_brown_bandicoot_high_disp_recorded_fires",31,4944.17664451062
"Northern_brown_bandicoot_high_disp_recorded_fires",32,8490.07985027679
"Northern_brown_bandicoot_high_disp_recorded_fires",33,5511.41175034314
"Northern_brown_bandicoot_high_disp_recorded_fires",34,20715.1733412191
"Northern_brown_bandicoot_high_disp_recorded_fires",35,13225.3115284962
"Northern_brown_bandicoot_high_disp_recorded_fires",36,14409.1656822727
"Northern_brown_bandicoot_high_disp_recorded_fires",37,23001.4033463315
"Northern_brown_bandicoot_high_disp_recorded_fires",38,6754.39763007927
"Northern_brown_bandicoot_high_disp_recorded_fires",39,10674.3249128786
"Northern_brown_bandicoot_high_disp_recorded_fires",40,18940.4640096365
"Northern_brown_bandicoot_high_disp_recorded_fires",41,28890.2940480837
"Northern_brown_bandicoot_high_disp_recorded_fires",42,8416.77512124767
"Northern_brown_bandicoot_high_disp_recorded_fires",43,11714.6271247968
"Northern_brown_bandicoot_high_disp_recorded_fires",44,13173.5497945302
"Northern_brown_bandicoot_high_disp_recorded_fires",45,16297.2340052867
"Northern_brown_bandicoot_high_disp_recorded_fires",46,4687.77600403208
"Northern_brown_bandicoot_high_disp_recorded_fires",47,11411.3369630737
"Northern_brown_bandicoot_high_disp_recorded_fires",48,14759.6478027294
"Northern_brown_bandicoot_high_disp_recorded_fires",49,13921.2090741669
"Northern_brown_bandicoot_high_disp_recorded_fires",50,5341.42971020701
"Northern_brown_bandicoot_high_disp_recorded_fires",51,17878.6389487698
"Northern_brown_bandicoot_high_disp_recorded_fires",52,13037.2169518479
"Northern_brown_bandicoot_high_disp_recorded_fires",53,10150.0462570234
"Northern_brown_bandicoot_high_disp_recorded_fires",54,6171.9290634579
"Northern_brown_bandicoot_high_disp_recorded_fires",55,19705.7013050645
"Northern_brown_bandicoot_high_disp_recorded_fires",56,11127.5212223583
"Northern_brown_bandicoot_high_disp_recorded_fires",57,17680.5589508928
"Northern_brown_bandicoot_high_disp_recorded_fires",58,10203.9604914861
"Northern_brown_bandicoot_high_disp_recorded_fires",59,4768.46132437918
"Northern_brown_bandicoot_high_disp_recorded_fires",60,16733.0931936223
"Northern_brown_bandicoot_high_disp_recorded_fires",61,9472.29159412945
"Northern_brown_bandicoot_high_disp_recorded_fires",62,16502.6230001513
"Northern_brown_bandicoot_high_disp_recorded_fires",63,15217.6193045011
"Northern_brown_bandicoot_high_disp_recorded_fires",64,4120.12526491228
"Northern_brown_bandicoot_high_disp_recorded_fires",65,9763.79420126801
"Northern_brown_bandicoot_high_disp_recorded_fires",66,9925.46734907524
"Northern_brown_bandicoot_high_disp_recorded_fires",67,12426.543764178
"Northern_brown_bandicoot_high_disp_recorded_fires",68,13640.8525663768
"Northern_brown_bandicoot_high_disp_recorded_fires",69,8386.81821281762
"Northern_brown_bandicoot_high_disp_recorded_fires",70,11765.6986016283
"Northern_brown_bandicoot_high_disp_recorded_fires",71,15245.297714905
"Northern_brown_bandicoot_high_disp_recorded_fires",72,6879.95053281524
"Northern_brown_bandicoot_high_disp_recorded_fires",73,16385.7750795772
"Northern_brown_bandicoot_high_disp_recorded_fires",74,4963.68800476023
"Northern_brown_bandicoot_high_disp_recorded_fires",75,7144.47224951582
"Northern_brown_bandicoot_high_disp_recorded_fires",76,6479.0758581578
"Northern_brown_bandicoot_high_disp_recorded_fires",77,11800.6016453997
"Northern_brown_bandicoot_high_disp_recorded_fires",78,6507.57275320044
"Northern_brown_bandicoot_high_disp_recorded_fires",79,4913.95369113852
"Northern_brown_bandicoot_high_disp_recorded_fires",80,10352.4502890176
"Northern_brown_bandicoot_high_disp_recorded_fires",81,13110.0245828628
"Northern_brown_bandicoot_high_disp_recorded_fires",82,9970.88648262793
"Northern_brown_bandicoot_high_disp_recorded_fires",83,8959.51327226456
"Northern_brown_bandicoot_high_disp_recorded_fires",84,5386.22940979625
"Northern_brown_bandicoot_high_disp_recorded_fires",85,17052.5005125587
"Northern_brown_bandicoot_high_disp_recorded_fires",86,2873.38702282086
"Northern_brown_bandicoot_high_disp_recorded_fires",87,11916.1355486828
"Northern_brown_bandicoot_high_disp_recorded_fires",88,9441.29208695166
"Northern_brown_bandicoot_high_disp_recorded_fires",89,10161.0094264752
"Northern_brown_bandicoot_high_disp_recorded_fires",90,6744.84082917652
